No.,Recipe Name,Protein (g),Carbs (g),Fat (g),Total Calories,Serving Size,Time of Day,Preparation Instructions,Veg / Non-veg
1,Grilled Chicken Salad,30,10,5,250,1 bowl,Lunch,"Grill chicken, chop veggies, mix with dressing, serve chilled.",Non-Veg
2,Quinoa & Black Bean Bowl,15,40,5,300,1 bowl,Lunch,"Cook quinoa, mix with black beans, corn, and spices, serve warm.",Veg
3,Overnight Oats,10,30,5,250,1 jar,Breakfast,"Mix oats, yogurt, and fruits in a jar, refrigerate overnight.",Veg
4,Spinach & Feta Omelette,20,5,10,200,1 omelette,Breakfast,"Whisk eggs, add spinach and feta, cook in a skillet until set.",Non-Veg
5,Turkey & Avocado Wrap,25,30,15,400,1 wrap,Lunch,"Spread avocado on wrap, layer turkey and veggies, roll tightly.",Non-Veg
6,Baked Salmon with Asparagus,35,10,15,350,1 fillet,Dinner,Bake salmon and asparagus with olive oil and lemon at 400°F for 20 minutes.,Veg
7,Greek Yogurt Parfait,15,25,5,200,1 cup,Snack,"Layer yogurt, granola, and berries in a cup.",Veg
8,Lentil Soup,18,30,3,220,1 bowl,Dinner,"Cook lentils with veggies and broth until tender, season to taste.",Veg
9,Protein Pancakes,25,30,8,350,3 pancakes,Breakfast,"Mix protein powder, oats, and eggs, cook on skillet until golden.",Veg
10,Chickpea Salad,12,35,8,280,1 bowl,Lunch,"Mix chickpeas, cucumber, tomatoes, and dressing, serve chilled.",Veg
11,Zucchini Noodles,10,15,5,150,1 bowl,Dinner,"Spiralize zucchini, Saute with garlic and olive oil, serve with marinara.",Veg
12,Almond Butter Smoothie,20,20,15,350,1 glass,Snack,"Blend almond butter, banana, spinach, and almond milk until smooth.",Veg
13,Cauliflower Rice Stir-Fry,10,20,5,150,1 bowl,Dinner,Saute cauliflower rice with mixed veggies and soy sauce.,Veg
14,Egg & Veggie Breakfast Bowl,20,15,10,250,1 bowl,Breakfast,"Scramble eggs with spinach, tomatoes, and onions, serve warm.",Non-Veg
15,Shrimp Tacos,25,30,10,350,2 tacos,Dinner,"Cook shrimp with spices, serve in corn tortillas with slaw.",Non-Veg
16,Cottage Cheese & Pineapple,15,20,2,150,1 cup,Snack,"Mix cottage cheese with pineapple chunks, serve chilled.",Veg
17,Beef Stir-Fry,30,20,15,400,1 bowl,Dinner,"Stir-fry beef with broccoli and bell peppers, serve with brown rice.",Non-Veg
18,Chia Seed Pudding,10,20,5,200,1 cup,Snack,"Mix chia seeds with almond milk, refrigerate overnight, top with fruits.",Veg
20,Chicken Stir-Fry,30,25,10,400,1 bowl,Dinner,"Stir-fry chicken with mixed vegetables and teriyaki sauce, serve over rice.",Non-Veg
21,Greek Salad,12,15,8,200,1 bowl,Lunch,"Toss cucumbers, tomatoes, olives, and feta with olive oil and oregano.",Veg
22,Tuna Salad,25,5,10,200,1 bowl,Lunch,"Mix canned tuna with mayo, celery, and onions, serve on lettuce.",Veg
23,Sweet Potato & Black Bean Tacos,15,40,5,300,2 tacos,Dinner,"Roast sweet potatoes, mix with black beans, serve in corn tortillas.",Veg
24,Caprese Salad,10,5,15,200,1 plate,Snack,"Layer fresh mozzarella, tomatoes, and basil, drizzle with balsamic glaze.",Veg
25,Baked Chicken Thighs,30,0,20,400,1 thigh,Dinner,"Season chicken thighs, bake at 375°F for 45 minutes until cooked through.",Non-Veg
26,Spinach & Mushroom Quiche,15,20,10,250,1 slice,Breakfast,"Bake eggs with spinach, mushrooms, and cheese in a pie crust until set.",Veg
27,Peanut Butter Banana Toast,10,30,10,250,1 slice,Snack,"Spread peanut butter on whole grain toast, top with banana slices.",Veg
28,Vegetable Soup,8,25,2,150,1 bowl,Dinner,"Simmer mixed vegetables in vegetable broth until tender, season to taste.",Veg
29,Chicken Caesar Salad,30,10,15,350,1 bowl,Lunch,"Toss romaine with grilled chicken, Caesar dressing, croutons, and parmesan.",Non-Veg
30,Egg Salad,12,5,10,200,1 sandwich,Lunch,"Mix chopped hard-boiled eggs with mayo, mustard, and seasonings, serve on bread.",Non-Veg
31,Stuffed Bell Peppers,20,30,5,300,1 pepper,Dinner,"Stuff bell peppers with quinoa, black beans, and spices, bake until tender.",Veg
32,Coconut Curry Chickpeas,15,30,10,300,1 bowl,Dinner,"Cook chickpeas in coconut milk with curry powder and spinach, serve with rice.",Veg
33,Oatmeal with Berries,10,30,5,200,1 bowl,Breakfast,"Cook oats with water or milk, top with fresh berries and honey.",Veg
34,Grilled Shrimp Salad,25,10,5,250,1 bowl,Lunch,"Grill shrimp, toss with mixed greens, avocado, and vinaigrette.",Non-Veg
35,Veggie Stir-Fry,10,20,5,150,1 bowl,Dinner,"Stir-fry assorted vegetables with soy sauce and sesame oil, serve over rice.",Non-Veg
36,Turkey Chili,30,20,10,350,1 bowl,Dinner,"Cook ground turkey with beans, tomatoes, and spices until thickened.",Non-Veg
37,Avocado Toast,5,30,15,250,1 slice,Snack,"Mash avocado on whole grain toast, sprinkle with salt and pepper.",Veg
38,Salmon & Quinoa Bowl,35,30,10,400,1 bowl,Dinner,"Bake salmon, serve over quinoa with steamed broccoli.",Veg
39,Black Bean Soup,15,30,5,220,1 bowl,Dinner,"Blend black beans with broth, season, and heat until warm.",Veg
40,Fruit Smoothie,5,40,2,150,1 glass,Snack,Blend mixed fruits with yogurt and a splash of juice until smooth.,Veg
41,Chicken Fajitas,30,20,10,350,2 fajitas,Dinner,"Saute chicken with bell peppers and onions, serve in tortillas.",Non-Veg
42,Quinoa Salad,12,35,5,250,1 bowl,Lunch,"Mix cooked quinoa with cherry tomatoes, cucumber, and feta, drizzle with olive oil.",Veg
43,Egg & Avocado Toast,12,30,15,300,1 slice,Breakfast,Top whole grain toast with smashed avocado and a poached egg.,Non-Veg
44,Roasted Vegetable Medley,5,25,5,150,1 bowl,Dinner,Roast assorted vegetables with olive oil and herbs until tender.,Veg
45,Chicken & Broccoli Casserole,30,20,10,350,1 serving,Dinner,Combine cooked chicken and broccoli with cheese and bake until bubbly.,Non-Veg
46,Spinach & Cheese Stuffed Shells,15,40,10,400,3 shells,Dinner,"Fill pasta shells with spinach and cheese, cover with marinara, and bake.",Veg
47,Turkey & Cheese Sandwich,25,30,10,350,1 sandwich,Lunch,"Layer turkey and cheese on whole grain bread, add lettuce and tomato.",Non-Veg
48,Grilled Veggie Wrap,10,30,5,250,1 wrap,Lunch,"Grill assorted vegetables, wrap in a tortilla with hummus.",Non-Veg
49,Shrimp & Grits,25,40,15,450,1 bowl,Dinner,"Cook shrimp in a spicy sauce, serve over creamy grits.",Non-Veg
50,Caprese Pasta Salad,12,40,10,350,1 bowl,Lunch,"Toss cooked pasta with mozzarella, tomatoes, basil, and balsamic dressing.",Veg
51,Chicken & Rice Bowl,30,40,10,400,1 bowl,Dinner,Serve grilled chicken over brown rice with steamed vegetables.,Non-Veg
52,Veggie Omelette,20,5,10,200,1 omelette,Breakfast,"Whisk eggs, add mixed vegetables, cook until set.",Non-Veg
53,Baked Ziti,15,40,10,400,1 serving,Dinner,"Layer cooked pasta with marinara and cheese, bake until bubbly.",Veg
54,Chicken Tikka Masala,30,20,15,400,1 bowl,Dinner,"Cook chicken in a spiced tomato sauce, serve with rice.",Non-Veg
55,Greek Yogurt & Honey Bowl,15,25,5,200,1 bowl,Snack,Top Greek yogurt with honey and nuts for a healthy snack.,Veg
56,Veggie Sushi Rolls,10,30,5,200,6 rolls,Snack,"Roll sushi rice with cucumber, avocado, and carrots in nori.",Non-Veg
57,Chicken Noodle Soup,25,30,5,250,1 bowl,Dinner,"Simmer chicken, noodles, and vegetables in broth until cooked.",Non-Veg
58,Roasted Chickpeas,10,30,5,150,1 cup,Snack,"Toss chickpeas with spices, roast until crispy.",Veg
60,Chicken & Quinoa Salad,30,35,10,400,1 bowl,Lunch,"Mix grilled chicken with quinoa, spinach, and vinaigrette.",Non-Veg
61,Veggie Pizza,12,40,10,350,1 slice,Dinner,"Top whole wheat crust with tomato sauce, cheese, and assorted vegetables, bake.",Non-Veg
62,Thai Peanut Noodles,15,40,15,400,1 bowl,Dinner,"Toss cooked noodles with peanut sauce, veggies, and cilantro.",Veg
63,Baked Eggplant Parmesan,10,30,10,300,1 serving,Dinner,"Layer baked eggplant with marinara and cheese, bake until bubbly.",Non-Veg
64,Chicken & Vegetable Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry chicken with mixed vegetables and soy sauce, serve over rice.",Non-Veg
65,Fruit Salad,5,30,1,150,1 bowl,Snack,"Mix assorted fresh fruits, drizzle with honey and lime juice.",Veg
66,Lentil & Spinach Curry,18,30,5,250,1 bowl,Dinner,"Cook lentils with spinach, coconut milk, and spices, serve with rice.",Veg
67,Chicken & Avocado Salad,30,10,15,350,1 bowl,Lunch,"Toss grilled chicken with avocado, mixed greens, and lime dressing.",Non-Veg
68,Quinoa & Roasted Veggies,12,40,5,300,1 bowl,Dinner,Mix cooked quinoa with roasted vegetables and a drizzle of balsamic glaze.,Non-Veg
69,Shrimp & Vegetable Skewers,25,10,5,200,2 skewers,Dinner,"Grill shrimp and vegetables on skewers, serve with a dipping sauce.",Non-Veg
70,Greek Yogurt Smoothie,15,30,5,200,1 glass,Snack,Blend Greek yogurt with fruits and a splash of milk until smooth.,Veg
71,Chicken & Spinach Wrap,30,30,10,400,1 wrap,Lunch,"Fill a wrap with grilled chicken, spinach, and hummus, roll tightly.",Non-Veg
72,Veggie & Hummus Plate,10,20,5,150,1 plate,Snack,Serve assorted raw vegetables with hummus for dipping.,Non-Veg
73,Baked Sweet Potato,5,30,0,150,1 potato,Dinner,"Bake sweet potato until tender, serve with toppings of choice.",Veg
74,Chicken & Black Bean Bowl,30,40,10,400,1 bowl,Dinner,"Combine grilled chicken with black beans, corn, and salsa, serve over rice.",Non-Veg
75,Spinach & Feta Stuffed Chicken,25,5,10,300,1 breast,Dinner,"Stuff chicken breast with spinach and feta, bake until cooked through.",Non-Veg
76,Veggie & Cheese Quesadilla,12,30,10,300,1 quesadilla,Lunch,"Fill a tortilla with cheese and assorted vegetables, cook until golden.",Non-Veg
77,Chicken & Lentil Soup,25,30,5,250,1 bowl,Dinner,"Simmer chicken, lentils, and vegetables in broth until cooked.",Non-Veg
80,Chicken & Vegetable Soup,25,30,5,250,1 bowl,Dinner,Simmer chicken and vegetables in broth until cooked through.,Non-Veg
81,Spinach & Ricotta Stuffed Shells,15,40,10,400,3 shells,Dinner,"Fill pasta shells with spinach and ricotta, cover with marinara, and bake.",Veg
82,Beef & Broccoli Stir-Fry,30,20,15,400,1 bowl,Dinner,"Stir-fry beef with broccoli and soy sauce, serve over rice.",Non-Veg
83,Avocado & Tomato Salad,5,10,15,200,1 bowl,Snack,Toss avocado and tomatoes with lime juice and salt.,Veg
84,Chicken & Quinoa Bowl,30,35,10,400,1 bowl,Lunch,Serve grilled chicken over quinoa with mixed vegetables.,Non-Veg
85,Roasted Brussels Sprouts,5,15,5,100,1 cup,Side,Roast Brussels sprouts with olive oil and seasonings until crispy.,Veg
86,Shrimp Fried Rice,25,40,10,400,1 bowl,Dinner,"Stir-fry shrimp with rice, peas, and carrots, season with soy sauce.",Non-Veg
87,Chicken & Sweet Potato Bowl,30,40,10,400,1 bowl,Dinner,Combine grilled chicken with roasted sweet potatoes and greens.,Non-Veg
88,Veggie & Bean Chili,15,30,5,250,1 bowl,Dinner,"Cook mixed beans with tomatoes, bell peppers, and spices until thickened.",Non-Veg
89,Greek Chicken Wrap,25,30,10,350,1 wrap,Lunch,"Fill a wrap with grilled chicken, tzatziki, and veggies, roll tightly.",Non-Veg
90,Baked Cod with Lemon,30,0,5,200,1 fillet,Dinner,Bake cod with lemon and herbs until flaky.,Veg
91,Quinoa & Spinach Stuffed Peppers,12,30,5,250,1 pepper,Dinner,"Stuff bell peppers with quinoa and spinach, bake until tender.",Veg
92,Chicken & Avocado Quesadilla,25,30,10,350,1 quesadilla,Lunch,"Fill a tortilla with chicken and avocado, cook until golden.",Non-Veg
93,Lentil Salad,18,30,5,250,1 bowl,Lunch,Mix cooked lentils with diced vegetables and vinaigrette.,Veg
94,Eggplant & Chickpea Curry,10,30,10,300,1 bowl,Dinner,"Cook eggplant and chickpeas in a spiced tomato sauce, serve with rice.",Non-Veg
95,Chicken & Spinach Pasta,30,40,10,400,1 bowl,Dinner,"Toss pasta with grilled chicken, spinach, and garlic sauce.",Non-Veg
96,Veggie & Hummus Sandwich,10,30,5,200,1 sandwich,Lunch,"Spread hummus on whole grain bread, add assorted vegetables.",Non-Veg
97,Shrimp & Avocado Salad,25,10,15,300,1 bowl,Lunch,"Toss shrimp with avocado, mixed greens, and lime dressing.",Non-Veg
98,Chicken & Rice Casserole,30,40,10,400,1 serving,Dinner,"Combine chicken, rice, and vegetables in a casserole dish, bake until bubbly.",Non-Veg
99,Spicy Tofu Stir-Fry,20,20,10,300,1 bowl,Dinner,"Stir-fry tofu with mixed vegetables and spicy sauce, serve over rice.",Veg
100,Berry Chia Pudding,10,20,5,200,1 cup,Snack,"Mix chia seeds with almond milk and berries, refrigerate until thickened.",Veg
101,Grilled Vegetable Salad,5,15,5,100,1 bowl,Lunch,"Grill assorted vegetables, toss with olive oil and balsamic vinegar.",Veg
102,Turkey Meatballs,25,10,10,250,4 meatballs,Dinner,"Mix ground turkey with herbs, form into balls, bake until cooked through.",Non-Veg
103,Quinoa & Kale Salad,12,30,5,250,1 bowl,Lunch,"Toss cooked quinoa with kale, cherry tomatoes, and a lemon vinaigrette.",Veg
104,Spicy Chickpea Tacos,15,30,5,250,2 tacos,Dinner,"Fill corn tortillas with spiced chickpeas, avocado, and salsa.",Veg
105,Coconut Rice,5,40,10,250,1 cup,Side,"Cook rice in coconut milk for a creamy texture, serve with grilled chicken.",Veg
106,Baked Falafel,15,30,5,200,4 falafel,Lunch,"Blend chickpeas with herbs, form into balls, bake until golden.",Veg
107,Sweet Potato & Quinoa Bowl,10,40,5,300,1 bowl,Dinner,"Combine roasted sweet potatoes with quinoa and black beans, drizzle with lime.",Veg
108,Greek Chicken Pita,30,30,10,400,1 pita,Lunch,"Fill pita with grilled chicken, tzatziki, and mixed greens.",Non-Veg
109,Zucchini & Corn Fritters,10,20,5,150,3 fritters,Snack,"Mix grated zucchini and corn with eggs and flour, pan-fry until golden.",Veg
110,Lentil & Vegetable Stir-Fry,18,30,5,250,1 bowl,Dinner,"Stir-fry lentils with mixed vegetables and soy sauce, serve over rice.",Veg
111,Chicken & Avocado Bowl,30,10,15,350,1 bowl,Lunch,"Toss grilled chicken with avocado, cherry tomatoes, and mixed greens.",Non-Veg
112,Spaghetti Squash with Marinara,10,25,5,200,1 bowl,Dinner,"Roast spaghetti squash, top with marinara sauce and parmesan cheese.",Veg
113,Almond Flour Muffins,8,15,10,200,1 muffin,Snack,"Mix almond flour with eggs and sweetener, bake until golden.",Veg
114,Grilled Chicken & Mango Salad,30,15,10,350,1 bowl,Lunch,"Toss grilled chicken with mango, avocado, and mixed greens.",Non-Veg
115,Cauliflower & Chickpea Curry,15,30,10,300,1 bowl,Dinner,Cook cauliflower and chickpeas in coconut milk with curry spices.,Veg
116,Egg & Spinach Breakfast Wrap,20,30,10,300,1 wrap,Breakfast,"Scramble eggs with spinach, wrap in a tortilla with cheese.",Non-Veg
117,Roasted Beet Salad,8,15,5,150,1 bowl,Lunch,"Toss roasted beets with goat cheese, walnuts, and arugula.",Veg
118,Chicken & Vegetable Kebabs,30,10,10,300,2 skewers,Dinner,"Skewer chicken and vegetables, grill until cooked through.",Non-Veg
119,Quinoa & Black Bean Stuffed Peppers,15,30,5,250,1 pepper,Dinner,"Stuff bell peppers with quinoa and black beans, bake until tender.",Veg
120,Shrimp & Avocado Toast,25,30,15,350,1 slice,Snack,"Top whole grain toast with shrimp, avocado, and a squeeze of lime.",Non-Veg
121,Vegetable & Hummus Wrap,10,30,5,200,1 wrap,Lunch,"Spread hummus on a tortilla, fill with assorted vegetables, and roll tightly.",Veg
122,Chicken & Broccoli Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry chicken with broccoli and soy sauce, serve over rice.",Non-Veg
123,Spinach & Feta Stuffed Chicken Breast,25,5,10,300,1 breast,Dinner,"Stuff chicken breast with spinach and feta, bake until cooked through.",Non-Veg
124,Baked Potato with Toppings,5,30,5,200,1 potato,Side,"Bake potato until tender, top with sour cream, chives, and cheese.",Veg
125,Thai Green Curry,20,15,15,350,1 bowl,Dinner,Cook chicken or tofu in green curry paste with coconut milk and vegetables.,Veg
126,Roasted Garlic & Herb Chicken,30,0,10,250,1 serving,Dinner,Roast chicken with garlic and herbs until golden and cooked through.,Non-Veg
127,Chickpea & Spinach Stew,15,30,5,250,1 bowl,Dinner,Simmer chickpeas and spinach in tomato sauce with spices.,Veg
128,Grilled Salmon Tacos,25,30,10,350,2 tacos,Dinner,"Fill corn tortillas with grilled salmon, cabbage slaw, and avocado.",Veg
129,Caprese Stuffed Avocado,10,15,15,250,1 avocado,Snack,"Fill avocado halves with mozzarella, tomatoes, and basil, drizzle with balsamic.",Veg
130,Vegetable Quinoa Bowl,12,40,5,300,1 bowl,Lunch,Mix cooked quinoa with roasted vegetables and a lemon vinaigrette.,Veg
131,Chicken & Sweet Potato Skillet,30,40,10,400,1 bowl,Dinner,Saute chicken and sweet potatoes with spices until cooked through.,Non-Veg
132,Spinach & Mushroom Risotto,10,30,5,250,1 bowl,Dinner,"Cook arborio rice slowly with broth, add spinach and mushrooms until creamy.",Veg
133,Baked Apples with Cinnamon,2,30,5,150,1 apple,Snack,"Core apples, fill with cinnamon and nuts, bake until tender.",Veg
134,Chicken & Vegetable Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry chicken with mixed vegetables and teriyaki sauce, serve over rice.",Non-Veg
135,Quinoa & Roasted Beet Salad,12,30,5,250,1 bowl,Lunch,"Toss cooked quinoa with roasted beets, feta, and arugula.",Veg
136,Egg & Cheese Breakfast Sandwich,20,30,10,300,1 sandwich,Breakfast,Layer scrambled eggs and cheese on a toasted bagel.,Non-Veg
137,Grilled Chicken Caesar Wrap,30,30,10,400,1 wrap,Lunch,"Fill a wrap with grilled chicken, romaine, Caesar dressing, and parmesan.",Non-Veg
